op,g,ex,rm,ud,pf,66,67,fc,fpu,pm,uc,fb,w,d,sr,ar,nea,io,flds,mc,mnemonic,dw_mnemonic,alt_names,lck,rep,so,reg,m,copt1,copt2,copt3,gop1,gop2,gop3,f_tested,f_mod,f_def,f_undef,f_values,exceptions,description
00,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,dw,,ADD,,,1,0,1,1,1,r/m8,r8,,Eb,Gb,,,o..szapc,o..szapc,,,,Add
01,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,dW,,ADD,,,1,0,1,1,1,r/m16/32,r16/32,,Ev,Gv,,,o..szapc,o..szapc,,,,Add
02,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,Dw,,ADD,,,0,0,1,1,1,r8,r/m8,,Gb,Eb,,,o..szapc,o..szapc,,,,Add
03,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,DW,,ADD,,,0,0,1,1,1,r16/32,r/m16/32,,Gv,Ev,,,o..szapc,o..szapc,,,,Add
04,,,,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,w,,ADD,,,0,0,0,0,0,AL,imm8,,AL,Ib,,,o..szapc,o..szapc,,,,Add
05,,,,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,W,,ADD,,,0,0,0,0,0,AX,imm16/32,,eAX,Iv,,,o..szapc,o..szapc,,,,Add
06,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,sr,,PUSH,,,0,0,0,0,0,,,,ES,,,,,,,,,Push ES register
07,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,sr,,POP,,,0,0,0,0,0,,,,ES,,,,,,,,,Pop ES register
08,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,dw,,OR,,,1,0,1,1,1,r/m8,r8,,Eb,Gb,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical Inclusive OR
09,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,dW,,OR,,,1,0,1,1,1,r/m16/32,r16/32,,Evqp,Gvqp,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical Inclusive OR
0A,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,Dw,,OR,,,0,0,1,1,1,r8,r/m8,,Gb,Eb,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical Inclusive OR
0B,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,DW,,OR,,,0,0,1,1,1,r16/32,r/m16/32,,Gv,Ev,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical Inclusive OR
0C,,,,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,w,,OR,,,0,0,0,0,0,AL,imm8,,AL,Ib,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical Inclusive OR
0D,,,,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,W,,OR,,,0,0,0,0,0,AX,imm16/32,,eAX,Iv,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical Inclusive OR
0E,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,sR,,PUSH,,,0,0,0,0,0,,,,CS,,,,,,,,,Push CS register
10,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,dw,,ADC,,,1,0,1,1,1,r/m8,r8,,Eb,Gb,,.......c,o..szapc,o..szapc,,,,
11,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,dW,,ADC,,,1,0,1,1,1,r/m16/32,r16/32,,Evqp,Gvqp,,.......c,o..szapc,o..szapc,,,,Add with carry flag
12,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,Dw,,ADC,,,0,0,1,1,1,r8,r/m8,,Gb,Eb,,.......c,o..szapc,o..szapc,,,,Add with carry flag
13,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,DW,,ADC,,,0,0,1,1,1,r16/32,r/m16/32,,Gv,Ev,,.......c,o..szapc,o..szapc,,,,Add with carry flag
14,,,,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,w,,ADC,,,0,0,0,0,0,AL,imm8,,AL,Ib,,.......c,o..szapc,o..szapc,,,,Add with carry flag
15,,,,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,W,,ADC,,,0,0,0,0,0,AX,imm16/32,,eAX,Iv,,.......c,o..szapc,o..szapc,,,,Add with carry flag
16,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Sr,,PUSH,,,0,0,0,0,0,,,,SS,,,,,,,,,Push SS Register
17,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Sr,,POP,,,0,0,0,0,0,,,,SS,,,,,,,,,Pop SS Register
18,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,dw,,SBB,,,1,0,1,1,1,r/m8,r8,,Eb,Gb,,.......c,o..szapc,o..szapc,,,,Subtract with borrow
19,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,dW,,SBB,,,1,0,1,1,1,r/m16/32,r16/32,,Evqp,Gvqp,,.......c,o..szapc,o..szapc,,,,Subtract with borrow
1A,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,Dw,,SBB,,,0,0,1,1,1,r8,r/m8,,Gb,Eb,,.......c,o..szapc,o..szapc,,,,Subtract with borrow
1B,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,DW,,SBB,,,0,0,1,1,1,r16/32,r/m16/32,,Gv,Ev,,.......c,o..szapc,o..szapc,,,,Subtract with borrow
1C,,,,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,w,,SBB,,,0,0,0,0,0,AL,imm8,,AL,Ib,,.......c,o..szapc,o..szapc,,,,Subtract with borrow
1D,,,,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,W,,SBB,,,0,0,0,0,0,AX,imm16/32,,eAX,Iv,,.......c,o..szapc,o..szapc,,,,Subtract with borrow
1E,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,SR,,PUSH,,,0,0,0,0,0,,,,DS,,,,,,,,,Push DS register
1F,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,SR,,POP,,,0,0,0,0,0,,,,DS,,,,,,,,,Pop DS register
20,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,dw,,AND,,,1,0,1,1,1,r/m8,r8,,Eb,Gb,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical AND
21,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,dW,,AND,,,1,0,1,1,1,r/m16/32,r16/32,,Evqp,Gvqp,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical AND
22,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,Dw,,AND,,,0,0,1,1,1,r8,r/m8,,Gb,Eb,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical AND
23,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,DW,,AND,,,0,0,1,1,1,r16/32,r/m16/32,,Gv,Ev,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical AND
24,,,,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,w,,AND,,,0,0,0,0,0,AL,imm8,,AL,Ib,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical AND
25,,,,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,W,,AND,,,0,0,0,0,0,AX,imm16/32,,eAX,Iv,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical AND
26,,,,0,1,,,0,0,0,1,0,0,0,0,0,1,0,,,ES,,,0,0,0,0,0,,,,ES,,,,,,,,,ES segment override prefix
27,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,,,DAA,,,0,0,0,0,0,,,,AL,,,.....a.c,o..szapc,...szapc,o.......,,,Decimal Adjust AL after Addition
28,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,dw,,SUB,,,1,0,1,1,1,r/m8,r8,,Eb,Gb,,,o..szapc,o..szapc,,,,Subtract
29,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,dW,,SUB,,,1,0,1,1,1,r/m16/32,r16/32,,Evqp,Gvqp,,,o..szapc,o..szapc,,,,Subtract
2A,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,Dw,,SUB,,,0,0,1,1,1,r8,r/m8,,Gb,Eb,,,o..szapc,o..szapc,,,,Subtract
2B,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,DW,,SUB,,,0,0,1,1,1,r16/32,r/m16/32,,Gv,Ev,,,o..szapc,o..szapc,,,,Subtract
2C,,,,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,w,,SUB,,,0,0,0,0,0,AL,imm8,,AL,Ib,,,o..szapc,o..szapc,,,,Subtract
2D,,,,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,W,,SUB,,,0,0,0,0,0,AX,imm16/32,,eAX,Iv,,,o..szapc,o..szapc,,,,Subtract
2E,,,,0,1,,,0,0,0,1,0,0,0,0,0,1,0,,,CS,,,0,0,0,0,0,,,,CS,,,,,,,,,CS segment override prefix
2F,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,,,DAS,,,0,0,0,0,0,,,,AL,,,.....a.c,o..szapc,...szapc,o.......,,,Decimal Adjust AL after Subtraction
30,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,dw,,XOR,,,1,0,1,1,1,r/m8,r8,,Eb,Gb,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical Exclusive OR
31,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,dW,,XOR,,,1,0,1,1,1,r/m16/32,r16/32,,Evqp,Gvqp,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical Exclusive OR
32,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,Dw,,XOR,,,0,0,1,1,1,r8,r/m8,,Gb,Eb,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical Exclusive OR
33,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,DW,,XOR,,,0,0,1,1,1,r16/32,r/m16/32,,Gv,Ev,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical Exclusive OR
34,,,,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,w,,XOR,,,0,0,0,0,0,AL,imm8,,AL,Ib,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical Exclusive OR
35,,,,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,W,,XOR,,,0,0,0,0,0,AX,imm16/32,,eAX,Iv,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical Exclusive OR
36,,,,0,1,,,0,0,0,1,0,0,0,0,0,1,0,,,SS,,,0,0,0,0,0,,,,SS,,,,,,,,,SS segment override prefix
37,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,,,AAA,,,0,0,0,0,0,,,,AL,AH,,.....a..,o..szapc,.....a.c,o..sz.p.,,,ASCII Adjust After Addition
38,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,dw,,CMP,,,0,0,1,1,1,r/m8,r8,,Eb,Gb,,,o..szapc,o..szapc,,,,Compare Two Operands
39,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,dW,,CMP,,,0,0,1,1,1,r/m16/32,r16/32,,Evqp,Gvqp,,,o..szapc,o..szapc,,,,Compare Two Operands
3A,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,Dw,,CMP,,,0,0,1,1,1,r8,r/m8,,Gb,Eb,,,o..szapc,o..szapc,,,,Compare Two Operands
3B,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,DW,,CMP,,,0,0,1,1,1,r16/32,r/m16/32,,Gv,Ev,,,o..szapc,o..szapc,,,,Compare Two Operands
3C,,,,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,w,,CMP,,,0,0,0,0,0,AL,imm8,,AL,Ib,,,o..szapc,o..szapc,,,,Compare Two Operands
3D,,,,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,W,,CMP,,,0,0,0,0,0,AX,imm16/32,,eAX,Iv,,,o..szapc,o..szapc,,,,Compare Two Operands
3E,,,,0,1,,,0,0,0,1,0,0,0,0,0,1,0,,,DS,,,0,0,0,0,0,,,,DS,,,,,,,,,DS segment override prefix
3F,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,,,AAS,,,0,0,0,0,0,,,,AL,AH,,.....a..,o..szapc,.....a.c,o..sz.p.,,,ASCII Adjust AL After Subtraction
40,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,INC,,,0,0,0,0,0,AX,,,Zv,,,,o..szap.,o..szap.,,o.......,,Increment AX by 1
41,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,INC,,,0,0,0,0,0,CX,,,Zv,,,,o..szap.,o..szap.,,o.......,,Increment CX by 1
42,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,INC,,,0,0,0,0,0,DX,,,Zv,,,,o..szap.,o..szap.,,o.......,,Increment DX by 1
43,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,INC,,,0,0,0,0,0,BX,,,Zv,,,,o..szap.,o..szap.,,o.......,,Increment BX by 1
44,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,INC,,,0,0,0,0,0,SP,,,Zv,,,,o..szap.,o..szap.,,o.......,,Increment SP by 1
45,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,INC,,,0,0,0,0,0,BP,,,Zv,,,,o..szap.,o..szap.,,o.......,,Increment BP by 1
46,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,INC,,,0,0,0,0,0,SI,,,Zv,,,,o..szap.,o..szap.,,o.......,,Increment SI by 1
47,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,INC,,,0,0,0,0,0,DI,,,Zv,,,,o..szap.,o..szap.,,o.......,,Increment DI by 1
48,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,DEC,,,0,0,0,0,0,AX,,,Zv,,,,o..szap.,o..szap.,,o.......,,Decrement AX by 1
49,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,DEC,,,0,0,0,0,0,CX,,,Zv,,,,o..szap.,o..szap.,,o.......,,Decrement CX by 1
4A,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,DEC,,,0,0,0,0,0,DX,,,Zv,,,,o..szap.,o..szap.,,o.......,,Decrement DX by 1
4B,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,DEC,,,0,0,0,0,0,BX,,,Zv,,,,o..szap.,o..szap.,,o.......,,Decrement BX by 1
4C,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,DEC,,,0,0,0,0,0,SP,,,Zv,,,,o..szap.,o..szap.,,o.......,,Decrement SP by 1
4D,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,DEC,,,0,0,0,0,0,BP,,,Zv,,,,o..szap.,o..szap.,,o.......,,Decrement BP by 1
4E,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,DEC,,,0,0,0,0,0,SI,,,Zv,,,,o..szap.,o..szap.,,o.......,,Decrement SI by 1
4F,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,DEC,,,0,0,0,0,0,DI,,,Zv,,,,o..szap.,o..szap.,,o.......,,Decrement DI by 1
50,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,PUSH,,,0,0,0,0,0,,,,Zv,,,,,,,,,Push AX onto the Stack
51,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,PUSH,,,0,0,0,0,0,,,,Zv,,,,,,,,,Push CX onto the Stack
52,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,PUSH,,,0,0,0,0,0,,,,Zv,,,,,,,,,Push DX onto the stack
53,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,PUSH,,,0,0,0,0,0,,,,Zv,,,,,,,,,Push BX onto the stack
54,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,PUSH,,,0,0,0,0,0,,,,Zv,,,,,,,,,Push SP onto the stack
55,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,PUSH,,,0,0,0,0,0,,,,Zv,,,,,,,,,Push BP onto the stack
56,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,PUSH,,,0,0,0,0,0,,,,Zv,,,,,,,,,Push SI onto the stack
57,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,PUSH,,,0,0,0,0,0,,,,Zv,,,,,,,,,Push DI onto the stack
58,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,POP,,,0,0,0,0,0,,,,Zv,,,,,,,,,Pop Value from the Stack to AX
59,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,POP,,,0,0,0,0,0,,,,Zv,,,,,,,,,Pop Value from the Stack to CX
5A,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,POP,,,0,0,0,0,0,,,,Zv,,,,,,,,,Pop Value from the Stack to DX
5B,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,POP,,,0,0,0,0,0,,,,Zv,,,,,,,,,Pop Value from the Stack to BX
5C,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,POP,,,0,0,0,0,0,,,,Zv,,,,,,,,,Pop Value from the Stack to SP
5D,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,POP,,,0,0,0,0,0,,,,Zv,,,,,,,,,Pop Value from the Stack to BP
5E,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,POP,,,0,0,0,0,0,,,,Zv,,,,,,,,,Pop Value from the Stack to SI
5F,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,r,,POP,,,0,0,0,0,0,,,,Zv,,,,,,,,,Pop Value from the Stack to DI
60,,,,0,0,1,0,0,0,0,,,,,,,1,0,,,PUSHA,PUSHAD,,0,0,0,0,0,,,,,,,,,,,,,Push All General-Purpose Registers
61,,,,0,0,1,0,0,0,0,,,,,,,1,0,,,POPA,POPAD,,0,0,0,0,0,,,,,,,,,,,,,Pop All General-Purpose Registers
62,,,,0,0,1,1,0,0,0,,,,,,,,0,,,BOUND,,,0,0,1,0,1,r16/32,m16/32&16/32,Flags,,,,,..i.....,..i.....,,..i.....,,Check Array Index Against Bounds
63,,,,0,0,1,1,0,0,0,,,,,,,,0,,,ARPL,,,0,0,1,1,1,r/m16,r16,,,,,,....z...,....z...,,,6,Adjust RPL Field of Segment Selector
64,,,,0,1,0,0,0,0,0,,,,,,,,0,,,,,,0,0,1,1,1,,,,,,,,,,,,,FS segment override prefix
65,,,,0,1,0,0,0,0,0,,,,,,,,0,,,,,,0,0,1,1,1,,,,,,,,,,,,,GS segment override prefix
66,,,,0,1,0,0,0,0,0,,,,,,,,0,,,,,,0,0,1,1,1,,,,,,,,,,,,,Operand-size override prefix
67,,,,0,1,0,0,0,0,0,,,,,,,,0,,,,,,0,0,1,1,1,,,,,,,,,,,,,Address-size override prefix
68,,,,0,0,1,0,0,0,0,,,,,,,,0,,,PUSH,,,0,0,0,0,0,imm16,,,,,,,,,,,,Push Word Onto the Stack
69,,,,0,0,1,1,0,0,0,,,,,,,,0,,,IMUL,,,0,0,1,1,1,r16,r/m16,imm16,,,,,o..szapc,,...szap.,.....A..,,Signed Multiply
6A,,,,0,0,1,0,0,0,0,,,,,,,,0,,,PUSH,,,0,0,0,0,0,imm8,,,,,,,,,,,,Push Sign-extended Byte as Word Onto the Stack
6B,,,,0,0,1,1,0,0,0,,,,,,,,0,,,IMUL,,,0,0,1,1,1,r16,r/m16,imm8,,,,,o..szapc,,...szap.,.....A..,,Signed Multiply
6C,,,,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,,,INSB,,INS,0,1,1,1,1,m8,DX,,,,,,,,,,,Input from Port to String
6D,,,,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,,,INSW,INSD,,0,1,1,1,1,m16/32,DX,,,,,,,,,,,Input from Port to String
6E,,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,,,OUTSB,,OUTS,0,1,1,1,1,DX,m8,,,,,,,,,,,Output String to Port
6F,,,,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,,,OUTSW,OUTSD,,0,1,1,1,1,DX,m16,,,,,,,,,,,Output String to Port
70,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,tttn,,JO,,,0,0,0,0,0,rel8,,,Jbs,,,o.......,,,,,,Jump short if overflow (OF=1)
71,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,tttN,,JNO,,,0,0,0,0,0,rel8,,,Jbs,,,o.......,,,,,,Jump short if not overflow (OF=0)
72,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,ttTn,,JB,,"JNAE,JC",0,0,0,0,0,rel8,,,Jbs,,,.......c,,,,,,Jump short if below/not above or equal/carry (CF=1)
73,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,ttTN,,JNB,,"JAE,JNC",0,0,0,0,0,rel8,,,Jbs,,,.......c,,,,,,Jump short if not below/above or equal/not carry (CF=0)
74,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,tTtn,,JZ,,JE,0,0,0,0,0,rel8,,,Jbs,,,....z...,,,,,,Jump short if zero/equal (ZF=1)
